고유번호,관측코드,관측소명,주소,평균기온,경도,위도
1,509,관악,서울특별시 관악구 신림동 산56-1 (서울대학교),23.372184,126.9502188,37.4528634
2,417,금천,서울특별시 금천구 독산동 1034 (독산초등학교),24.203187,126.9141209,37.4603141
3,401,서초,서울특별시 서초구 서초동 1650 (서울교육대학교),25.44526,127.0179133,37.4828143
4,423,구로,서울특별시 구로구 궁동 213-42 (수궁동사무소),24.229555,126.8312293,37.4861128
5,410,기상청,서울특별시 동작구 신대방동 460-18 (기상청),24.463739,126.920722,37.4963142
6,403,송파,서울특별시 송파구 잠실동 40-1 (롯데월드),25.27892,127.0983106,37.5110096
7,400,강남,서울특별시 강남구 삼성동 42 (삼릉초등학교),25.055699,127.0464123,37.5122075
8,415,용산,서울특별시 용산구 이촌동 301-75 (신용산초등학교),25.349659,126.9754162,37.5196055
9,418,한강,서울특별시 영등포구 여의도동 85-1 (세모유람선),25.071663,126.9373233,37.5241055
10,405,양천,서울특별시 양천구 목동 915 (목동주차장),25.504734,126.8772291,37.5268081
11,510,영등포,서울특별시 영등포구 당산동 121-22 (영동초등학교),25.476629,126.9059224,37.5290091
12,413,광진,서울특별시 광진구 화양동 93-1 (건국대학교),25.102552,127.0770084,37.5407037
13,411,마포,서울특별시 마포구 망원동 211-42 (마포제2빗물펌프장,25.147352,126.9321232,37.5459012
14,421,성동,서울특별시 성동구 성수동1가 684-14 (성수중학교),25.092153,127.0385114,37.5478027
15,404,강서,서울특별시 강서구 화곡동 산60-1 (정보기능대학),24.276602,126.8479308,37.5528023
16,402,강동,서울특별시 강동구 고덕동 317-1 (종합직업학교),24.939541,127.1463026,37.554706
17,419,중구,서울특별시 중구 회현동1가 산1-19 (한국삭도(주)),23.37137,126.9843189,37.5562988
18,412,서대문,서울특별시 서대문구 신촌동 134 (연세대학교),23.76404,126.9445225,37.5703995
19,408,동대문,서울특별시 동대문구 전농동 90 (서울시립대),25.406839,127.0480106,37.5799984
20,409,중랑,서울특별시 중랑구 면목동 551 (면동초등학교),25.049611,127.0868052,37.5862996
21,416,은평,서울특별시 은평구 불광동 280-17 (국립환경연구원),24.358463,126.9336226,37.6111958
22,414,성북,서울특별시 성북구 정릉동 861-1 (국민대학교),24.190794,126.9972197,37.613296
23,420,북한산,서울특별시 종로구 구기동 산1 (승가사),21.565649,126.9544188,37.6182946
24,407,노원,서울특별시 노원구 공릉동 230-3 (육군사관학교),24.009665,127.0873044,37.6221956
25,424,강북,서울특별시 강북구 수유동 192-49 (강북구청 본관),25.442504,126.9996128,37.6360933
26,406,도봉,서울특별시 도봉구 방학동 310 (신방학초등학교),24.251172,127.0331096,37.6660907
27,108,서울,서울특별시 종로구 송월동 1번지 (서울기상대),24.35842,126.9635149,37.5741861
